/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/state/app-route/app.route.state.ts: line 73, col 5, Warning - Unused eslint-disable directive (no problems were reported from 'react-hooks/exhaustive-deps').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/state/snack-bar.state.tsx: line 30, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/about-us/whoWeAre/index.tsx: line 29, col 11, Error - 'smallScreen' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddBlog/index.tsx: line 30, col 3, Error - 'Switch' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddBlog/index.tsx: line 213, col 9, Error - 'handleToggleActive' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddCourse/index.tsx: line 34, col 3, Error - 'Switch' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddEvent/index.tsx: line 124, col 45, Error - 'isLoadingSingleEvent' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddEvent/index.tsx: line 221, col 16, Error - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AdminNavbar/index.tsx: line 92, col 3, Error - 'theme' is assigned a value but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AdminNavbar/index.tsx: line 211, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/Testimonials/index.tsx: line 22, col 17, Error - 'VisibilityIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/Testimonials/index.tsx: line 37, col 36, Error - 'theme' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/Testimonials/index.tsx: line 99, col 9, Warning - The 'testimonials' logical expression could make the dependencies of useMemo Hook (at line 111) change on every render. To fix this, wrap the initialization of 'testimonials' in its own useMemo() Hook. (react-hooks/exhaustive-deps)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/Users/index.tsx: line 3, col 10, Error - 'userStyles' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/Users/index.tsx: line 34, col 9, Warning - The 'allUsers' logical expression could make the dependencies of useMemo Hook (at line 52) change on every render. Move it inside the useMemo callback. Alternatively, wrap the initialization of 'allUsers' in its own useMemo() Hook. (react-hooks/exhaustive-deps)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/Users/index.tsx: line 35, col 9, Warning - The 'paginatedUsers' logical expression could make the dependencies of useMemo Hook (at line 52) change on every render. To fix this, wrap the initialization of 'paginatedUsers' in its own useMemo() Hook. (react-hooks/exhaustive-deps)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/auth/AdminLogin.tsx: line 17, col 42, Error - 'setError' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/index.tsx: line 2, col 10, Error - 'AdminNavbar' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/index.tsx: line 16, col 21, Error - 'setActiveTab' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/index.tsx: line 25, col 9, Error - 'renderContent' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/auth/LoginForm.tsx: line 5, col 3, Error - 'SubmitButton' is defined but never used. (@typescript-eslint/no-unused-vars)
